img,movie_name,year,genre,Overview,Director,Actor1,Actor2,Actor3,Actor4
https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Baaghi 2,-2018,"Action, Thriller","A battle-hardened army officer squares off against drug lords and Russian henchmen to save his ex-lover's kidnapped daughter in the underbelly of Goa, India.",Ahmed Khan,Tiger Shroff,Disha Patani,Manoj Bajpayee,Randeep Hooda
https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Judwaa 2,-2017,"Action, Comedy",Prem and Raja are twin brothers who are seperated at birth but are uniquely connected to eachother via their reflexes. They reunite as adults and set out to take down the underground smuggling world.,David Dhawan,Varun Dhawan,Jacqueline Fernandez,Taapsee Pannu,Anupam Kher
https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Shootout at Lokhandwala,-2007,"Action, Crime, History","An account of the gangster Mahindra Dolas and his gang, which terrorized Mumbai City, and a massive war between Mumbai Police and gangs during 16 November 1991.",Apoorva Lakhia,Amitabh Bachchan,Sanjay Dutt,Sunil Shetty,Arbaaz Khan
https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Sonchiriya,-2019,"Action, Crime, Drama","Set in the Chambal valley, the film follows the story of a legion of dreaded, warring dacoits who once terrorized the Indian heartlands.",Abhishek Chaubey,Sushant Singh Rajput,Bhumi Pednekar,Ashutosh Rana,Ranvir Shorey
https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,The Tashkent Files,-2019,"Drama, Mystery, Thriller","Revolves around the mysterious death of India's 2nd Prime Minister Shri Lal Bahadur Shastri and attempts to uncover if he had actually died a natural death, or, as alleged, was assassinated.",Vivek Agnihotri,Shweta Basu Prasad,Mithun Chakraborty,Naseeruddin Shah,Pankaj Tripathi
https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,D-Day,(I) (2013),"Action, Thriller",A team of experts dispatched to bring in The Most Wanted Man in India almost achieve the unthinkable ... until something goes horribly wrong.,Nikkhil Advani,Irrfan Khan,Rishi Kapoor,Arjun Rampal,Shruti Haasan
https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Mangal Pandey: The Rising,-2005,"Biography, Drama, History",This is a film about the leader of the 1857 mutiny and his fight against the British rule.,Ketan Mehta,Aamir Khan,Rani Mukerji,Toby Stephens,Coral Beed
https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Waqt: The Race Against Time,-2005,"Comedy, Drama, Family","Ishwar Chandra Thakur is living the good life, content with his loving wife Sumitra and son Adiya. There is but one thing which gradually comes to annoy Ishwar: his son's laziness and ...                 »",Vipul Amrutlal Shah,Amitabh Bachchan,Akshay Kumar,Priyanka Chopra Jonas,Shefali Shah
https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Jagga Jasoos,-2017,"Action, Adventure, Comedy","Join Jagga, a gifted teenage detective, who along with a female companion, is on a quest to find his missing father.",Anurag Basu,Ranbir Kapoor,Katrina Kaif,Saswata Chatterjee,Chitrak Bandyopadhyay
https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Taxi No. 9 2 11: Nau Do Gyarah,-2006,"Comedy, Drama, Thriller",A cabbie (Patekar) and businessman (Abraham) both in need of big money partake in a two-hour adventure together.,Milan Luthria,John Abraham,Nana Patekar,Sonali Kulkarni,Sameera Reddy
https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Mom,(I) (2017),"Crime, Drama, Thriller","After her daughter is sexually assaulted at a party, a furious mother sets out to destroy the lives of the four perpetrators who walked away free.",Ravi Udyawar,Sridevi,Sajal Ali,Akshaye Khanna,Adnan Siddiqui
https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Dhadak,-2018,"Drama, Romance","Set in Rajasthan, this love story explores how the protagonists deal with issues like differences between castes and honor killings.",Shashank Khaitan,Janhvi Kapoor,Ishaan Khattar,Ashutosh Rana,Aditya Kumar
https://m.media-amazon.com/images/S/sash/4FyxwxECzL-U1J8.png,Rangeela,-1995,"Comedy, Drama, Musical","A middle class young woman, who dreams of Bollywood fame, is caught in a love triangle between her childhood friend and a famous actor.",Ram Gopal Varma,Urmila Matondkar,Aamir Khan,Jackie Shroff,Gulshan Grover
